0	0	1	0	-1
10	7	11	0	-1
22	2	21	0	-1
23	1	24	0	-1
25	8	26	0	-1
27	1	15	0	-1
28	5	11	0	-1
28	9	11	0	-1
28	13	11	0	-1
29	10	30	0	-1
31	11	32	0	-1
33	2	1	0	-1
33	14	39	0	-1
34	4	35	0	-1
36	12	11	0	-1
39	14	33	0	-1
40	15	41	0	-1
47	0	48	0	-1
51	19	30	0	-1
28	6	30	24	-1
29	10	30	24	-1
43	2	60	24	-1
51	5	18	24	-1
54	2	43	24	-1
57	9	75	24	-1
59	19	51	24	-1
63	10	18	24	-1
64	21	65	24	-1
65	22	64	24	-1
65	22	70	24	-1
68	10	16	24	-1
69	4	43	24	-1
70	21	65	24	-1
73	1	74	24	-1
79	8	80	24	-1
80	23	79	24	-1
84	1	85	24	-1
86	1	30	24	-1
87	1	88	24	-1
1	11	49	48	-1
2	1	117	48	-1
15	26	16	48	-1
18	1	125	48	-1
20	9	32	48	-1
20	22	105	48	-1
28	4	11	48	-1
29	31	40	48	-1
40	15	147	48	-1
40	31	29	48	-1
49	8	50	48	-1
49	18	0	48	-1
58	1	97	48	-1
78	1	28	48	-1
90	9	135	48	-1
96	13	54	48	-1
99	6	20	48	-1
99	28	20	48	-1
100	29	101	48	-1
102	1	16	48	-1
103	30	30	48	-1
106	14	107	48	-1
107	14	106	48	-1
108	4	29	48	-1
112	4	113	48	-1
115	2	114	48	-1
116	1	49	48	-1
124	1	58	48	-1
124	4	58	48	-1
126	6	58	48	-1
130	6	131	48	-1
139	22	130	48	-1
140	1	141	48	-1
143	34	34	48	-1
2	16	169	72	-1
11	4	202	72	-1
28	4	11	72	-1
28	37	11	72	-1
28	42	30	72	-1
30	5	51	72	-1
30	22	181	72	-1
30	38	53	72	-1
31	6	30	72	-1
34	1	182	72	-1
34	39	35	72	-1
40	33	58	72	-1
41	5	30	72	-1
58	22	177	72	-1
58	22	190	72	-1
60	12	83	72	-1
78	1	28	72	-1
81	1	29	72	-1
93	11	92	72	-1
96	1	54	72	-1
100	7	30	72	-1
108	1	29	72	-1
108	2	170	72	-1
108	29	29	72	-1
124	1	58	72	-1
129	26	188	72	-1
130	2	131	72	-1
134	1	58	72	-1
142	1	82	72	-1
146	1	58	72	-1
150	35	129	72	-1
154	26	153	72	-1
155	14	156	72	-1
157	26	158	72	-1
158	26	157	72	-1
159	1	25	72	-1
159	1	148	72	-1
159	19	160	72	-1
161	10	162	72	-1
165	4	35	72	-1
165	11	201	72	-1
166	34	8	72	-1
170	2	108	72	-1
172	1	206	72	-1
172	37	173	72	-1
172	40	173	72	-1
174	37	175	72	-1
183	17	184	72	-1
190	21	58	72	-1
191	13	192	72	-1
193	4	51	72	-1
194	1	15	72	-1
203	1	30	72	-1
204	1	205	72	-1
0	7	49	96	-1
1	2	130	96	-1
16	22	212	96	-1
16	44	250	96	-1
25	9	242	96	-1
27	6	30	96	-1
28	9	11	96	-1
28	13	228	96	-1
29	6	30	96	-1
29	6	219	96	-1
30	3	51	96	-1
30	6	29	96	-1
30	6	219	96	-1
30	9	51	96	-1
30	22	181	96	-1
34	2	232	96	-1
40	6	30	96	-1
40	6	219	96	-1
40	43	58	96	-1
41	2	185	96	-1
48	4	254	96	-1
52	2	124	96	-1
58	4	220	96	-1
58	20	40	96	-1
58	45	40	96	-1
83	10	35	96	-1
88	1	231	96	-1
106	1	224	96	-1
124	2	52	96	-1
130	6	1	96	-1
133	1	34	96	-1
133	4	34	96	-1
152	2	130	96	-1
174	9	175	96	-1
185	2	41	96	-1
190	11	58	96	-1
190	49	58	96	-1
214	16	215	96	-1
215	16	214	96	-1
216	4	190	96	-1
218	26	217	96	-1
219	6	29	96	-1
219	6	30	96	-1
220	6	58	96	-1
223	1	16	96	-1
225	1	239	96	-1
227	6	16	96	-1
229	0	230	96	-1
232	2	34	96	-1
235	6	15	96	-1
238	6	58	96	-1
240	46	28	96	-1
249	48	8	96	-1
251	1	252	96	-1
253	11	16	96	-1
259	6	30	96	-1
15	1	16	120	-1
16	0	212	120	-1
